"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
18,15,25,21,17,26,63,22,60,115,7,26,17,5,95,9,13,131,3,0,50,71,19,7,32,4,2,16,7,45,7,7,26,14,13,3,8
-1,-1,-1,-1,35,20,94,26,56,112,3,32,23,11,117,7,29,163,5,1,61,64,14,3,35,1,5,14,7,31,9,14,16,7,11,8,6
114,132,441,131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,57,30,163,59,81,185,11,40,23,16,153,12,33,256,2,1,102,141,32,7,36,8,2,17,9,53,7,14,17,14,11,7,5
-1,-1,-1,-1,79,57,225,77,144,341,15,78,57,32,217,9,27,334,4,0,152,169,18,11,94,11,10,24,16,46,7,23,35,23,10,14,6
-1,-1,-1,-1,84,60,240,79,180,403,11,57,67,26,245,16,42,447,5,2,257,235,30,12,87,14,5,24,10,44,11,21,46,13,15,8,15
-1,-1,-1,-1,94,78,295,100,207,575,30,79,77,38,355,12,44,509,6,12,242,319,38,14,112,13,14,21,19,93,17,28,46,20,11,16,18
146,203,842,238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,115,88,290,110,217,704,18,94,79,41,414,23,50,655,3,13,264,325,32,27,107,21,15,37,8,100,14,25,73,40,10,14,22
-1,-1,-1,-1,279,199,743,241,538,2110,50,274,234,122,1211,42,184,2256,40,19,925,1208,120,62,437,70,59,133,66,366,44,108,211,93,55,55,75
80,85,414,135,246,160,710,177,508,2448,50,300,252,152,1449,65,200,2825,49,33,1169,2085,161,115,750,87,120,278,153,803,106,257,529,195,93,108,217
16,5,89,18,67,58,221,59,119,1063,15,85,45,28,585,22,58,1487,17,24,810,1605,153,114,557,89,151,239,149,862,120,358,785,285,216,184,292
1,7,19,7,13,38,66,12,26,359,6,34,14,4,171,5,13,330,8,9,233,510,51,23,166,22,29,48,70,282,46,146,380,158,95,92,120
0,0,4,1,4,13,20,9,6,133,6,9,3,5,78,1,3,154,6,2,103,258,21,7,80,11,12,17,31,120,29,64,210,89,72,53,65
0,0,1,4,1,4,9,2,6,76,0,2,2,0,24,1,4,52,3,2,29,115,12,7,20,3,5,13,24,77,11,29,129,47,51,46,27
0,0,0,3,0,8,3,1,1,17,1,3,1,1,15,0,1,37,3,1,20,57,8,3,10,2,1,5,6,38,8,19,61,37,26,23,25
0,0,0,0,1,12,6,3,2,7,0,1,4,0,11,1,1,23,0,0,1,35,7,0,11,2,5,3,6,28,8,8,39,35,20,17,18
