"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,1,1,4,31,1,29,1,5,7,3,4,2,11,2,1,2,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,36,1,11,2,6,4,2,9,6,8,2,3,6,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
14,15,9,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,59,0,21,1,8,4,6,10,9,22,6,2,3,9,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
-1,-1,-1,-1,76,3,39,1,12,18,10,12,15,23,10,2,7,15,9,2,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-1,-1,-1,-1,84,1,44,5,12,15,15,5,15,49,9,4,15,26,6,1,9,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
-1,-1,-1,-1,79,4,59,1,8,21,30,22,20,52,19,8,12,28,4,2,7,5,1,1,0,0,0,0,0,1,0,0,2,1,2,0,0
14,28,15,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,85,2,41,2,18,24,14,9,16,43,21,21,20,26,8,1,10,14,2,0,1,0,1,0,1,1,0,1,0,2,0,0,0
-1,-1,-1,-1,264,6,150,3,60,71,63,43,40,146,82,42,110,137,28,7,27,34,6,6,4,4,1,0,0,5,0,0,3,5,7,3,2
24,5,11,38,306,10,213,3,37,77,56,50,78,218,74,54,166,191,56,6,43,85,30,11,1,9,6,15,6,18,5,14,17,8,10,4,5
14,15,8,19,403,1,250,4,54,87,52,46,39,103,55,26,77,145,41,8,33,44,34,10,7,22,15,45,15,58,11,25,49,22,37,8,15
3,5,5,10,235,2,179,4,75,51,56,27,29,109,34,25,112,109,25,1,14,19,10,2,5,5,7,8,7,19,2,7,25,3,18,6,13
2,1,1,0,75,0,82,0,30,35,26,7,18,76,21,12,122,96,17,5,8,18,9,3,4,1,4,9,7,19,3,8,22,9,15,5,9
1,0,0,0,53,0,39,1,17,12,5,1,3,14,7,3,22,27,8,3,2,3,2,1,1,5,6,3,2,16,3,4,28,5,18,1,15
0,0,0,1,23,0,14,0,7,7,2,0,0,10,3,2,7,14,2,0,1,1,2,1,0,1,0,0,0,9,1,1,7,4,15,2,7
0,0,1,0,3,0,7,0,4,2,1,0,0,2,1,3,2,7,0,0,1,0,1,0,1,1,0,0,0,3,0,2,7,1,5,1,2
