"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
12,7,9,17,16,8,40,8,10,12,5,3,11,9,7,5,19,14,8,5,13,6,1,3,1,0,7,22,0,2,4,6,4,2,7,1,1
-1,-1,-1,-1,27,16,49,6,8,10,7,6,11,3,7,10,27,7,14,3,24,7,1,1,3,0,4,10,1,2,1,3,3,0,3,0,1
79,66,174,206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,45,14,79,4,15,14,9,8,9,11,17,17,20,11,24,3,31,11,1,1,2,1,4,16,6,2,8,4,3,0,4,3,1
-1,-1,-1,-1,66,34,98,14,35,23,13,9,22,13,30,26,42,26,32,13,48,24,9,6,8,0,8,12,5,5,8,2,4,0,3,0,1
-1,-1,-1,-1,62,42,166,18,52,22,18,24,44,22,30,24,59,30,38,15,60,20,12,9,4,5,12,21,7,4,10,7,2,1,3,1,5
-1,-1,-1,-1,55,45,188,21,72,51,37,35,35,30,29,30,63,33,25,17,60,42,5,6,3,4,9,16,4,1,11,6,6,1,7,5,6
136,118,310,444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,62,37,177,27,54,47,47,43,54,35,34,22,78,46,53,14,64,42,8,11,6,12,13,31,4,10,7,8,9,7,4,1,1
-1,-1,-1,-1,159,135,555,75,196,147,152,81,205,105,105,91,220,173,168,55,204,134,46,46,26,24,67,118,25,47,40,45,34,20,30,15,19
82,59,193,307,157,128,678,86,237,177,151,168,289,135,153,132,334,200,217,106,362,208,111,120,61,82,148,306,79,86,115,80,89,36,86,27,48
8,16,59,83,40,33,247,18,69,59,45,38,66,40,44,30,162,129,105,80,332,211,147,127,86,82,213,464,146,187,186,190,170,78,253,61,75
1,2,5,13,6,8,52,1,12,15,12,11,8,11,8,9,33,34,39,16,74,86,29,36,30,29,87,173,69,72,90,66,91,34,210,54,59
0,0,2,1,1,1,7,0,10,1,2,1,3,2,2,2,16,9,11,11,33,26,14,17,17,10,29,65,22,27,44,36,45,20,91,26,28
0,0,1,0,0,0,1,0,2,0,1,0,1,1,0,0,2,3,5,0,9,10,5,9,2,3,6,36,12,15,15,18,20,10,64,22,16
0,0,1,0,1,0,3,0,1,0,0,0,0,2,1,1,2,1,0,1,10,5,3,1,2,2,4,14,5,4,12,11,10,5,31,19,15
0,0,1,0,0,1,1,0,0,0,1,0,0,2,1,1,3,3,1,0,2,1,0,2,2,1,1,2,2,4,10,7,3,2,20,6,8
