"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,2,8,0,15,1,12,1,3,8,7,2,3,3,9,0,8,20,3,1,1,4,0,2,2,3,6,9,4,4,4,5,13,4,7,2,6
-1,-1,-1,-1,8,11,10,1,4,8,6,3,5,5,6,1,7,12,2,1,0,6,2,3,1,0,3,10,4,2,1,3,5,2,1,0,1
9,7,13,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,12,3,29,0,2,3,6,5,8,6,6,1,7,21,4,0,2,6,1,0,0,1,3,6,3,6,1,1,11,2,1,2,2
-1,-1,-1,-1,12,5,39,2,11,15,8,12,10,7,18,4,9,35,5,0,1,12,4,3,0,1,11,7,3,9,3,1,8,8,5,3,8
-1,-1,-1,-1,18,3,44,3,15,23,9,4,9,8,23,7,15,37,6,1,9,14,6,5,1,0,4,11,2,3,3,1,12,7,3,2,5
-1,-1,-1,-1,18,9,40,4,20,37,10,12,7,7,19,7,21,50,7,0,5,9,9,6,0,2,14,6,3,11,6,4,17,7,3,3,6
2,3,16,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,25,4,41,4,17,42,7,13,14,10,28,6,17,46,7,0,6,20,12,4,1,1,18,13,4,7,4,1,25,3,10,5,13
-1,-1,-1,-1,49,18,133,6,65,104,40,45,26,19,69,22,60,153,29,7,18,59,25,14,8,9,49,46,20,32,9,18,52,26,31,20,28
2,2,8,2,27,13,125,13,56,168,47,44,32,39,88,30,63,231,39,9,39,89,32,24,30,21,110,122,40,69,16,36,121,43,65,39,60
1,1,6,0,12,5,81,4,23,122,31,20,13,27,72,13,48,212,35,10,39,112,24,16,43,29,103,173,58,132,49,55,235,136,150,82,137
0,0,0,1,7,1,38,1,8,50,11,13,8,8,40,6,16,95,21,6,25,98,22,5,25,14,69,120,40,95,38,58,168,104,120,77,119
0,0,0,0,2,0,12,1,2,27,3,4,3,6,9,1,8,37,4,4,17,51,7,2,9,11,28,60,20,46,16,16,92,49,71,32,51
0,0,0,0,0,0,4,0,0,4,2,2,0,1,5,0,2,8,4,0,5,15,0,1,5,3,8,20,10,24,7,11,42,22,27,18,24
0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,1,2,2,0,2,5,0,1,4,0,5,7,2,6,4,3,21,15,8,9,10
0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,3,3,1,0,1,3,1,0,0,0,2,2,0,1,1,0,5,8,8,3,6
