"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
10,11,29,3,23,32,39,15,26,75,11,16,12,8,51,6,17,56,5,4,156,61,13,4,4,4,11,23,15,47,10,29,38,10,22,81,46
-1,-1,-1,-1,13,17,75,10,29,101,6,13,19,8,41,16,32,64,4,3,175,50,5,2,6,6,14,14,14,33,8,8,16,9,12,35,20
82,78,264,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,33,28,99,26,61,109,13,34,21,11,100,18,47,115,15,12,229,80,36,8,8,11,20,30,21,61,11,23,31,10,14,47,36
-1,-1,-1,-1,32,47,152,39,69,193,22,47,46,22,158,24,65,179,12,23,347,141,28,14,19,12,31,42,23,77,8,54,58,21,22,64,36
-1,-1,-1,-1,52,57,191,41,82,239,21,34,50,19,184,23,69,221,23,14,465,168,41,16,18,23,42,71,35,97,17,47,59,19,21,76,42
-1,-1,-1,-1,58,57,212,40,92,281,33,58,75,28,204,28,87,237,20,24,565,251,54,32,29,20,59,69,37,125,14,53,80,14,30,93,43
144,167,487,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,54,70,223,40,97,345,19,44,60,30,197,36,72,227,15,21,558,241,79,31,34,26,70,79,38,139,20,52,100,32,35,110,71
-1,-1,-1,-1,144,151,585,96,257,979,85,128,218,96,659,95,217,748,51,62,1620,866,192,78,131,92,268,280,171,478,77,214,349,92,135,402,186
53,73,272,29,128,141,584,81,212,805,69,145,248,110,623,86,278,911,53,73,1926,1310,363,128,241,164,440,421,309,891,119,327,691,199,243,737,389
8,18,145,5,37,37,194,19,36,311,26,41,43,14,161,15,116,485,33,16,1098,958,321,115,214,146,446,374,243,1112,141,494,1053,304,416,1042,488
0,4,32,4,15,16,50,5,14,108,3,6,10,4,38,4,28,217,7,6,260,281,124,57,96,48,161,140,100,487,82,217,591,162,220,539,275
1,1,10,2,0,8,16,3,2,20,1,1,4,2,15,2,4,83,7,1,113,126,50,23,32,22,71,60,34,207,40,107,286,76,119,279,133
0,0,0,0,0,1,1,0,2,10,0,0,0,0,3,1,3,26,1,1,38,65,30,7,17,7,38,24,22,94,25,64,149,50,69,134,75
0,0,0,0,1,0,1,1,0,10,0,1,0,0,1,1,2,5,0,0,12,21,12,3,6,5,12,9,15,28,5,24,69,27,24,66,44
0,0,0,1,0,1,0,0,1,3,0,0,1,1,6,1,0,5,1,0,12,26,12,5,3,7,9,5,11,28,10,14,30,18,19,39,19
