"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
9,10,21,7,8,19,36,6,12,38,2,22,9,7,43,6,11,80,6,2,20,56,12,7,15,4,14,6,7,5,4,1,2,2,0,1,1
-1,-1,-1,-1,9,10,48,15,10,36,1,21,6,4,53,7,14,80,9,8,19,42,9,0,10,3,11,5,4,3,0,0,1,0,0,0,0
153,171,244,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,33,32,100,21,23,68,5,41,7,13,90,13,39,121,17,9,43,120,14,11,17,10,8,15,1,10,0,4,1,1,0,0,0
-1,-1,-1,-1,42,29,118,26,40,115,6,64,14,12,161,27,27,171,20,24,71,123,12,17,28,5,11,8,1,7,1,4,3,1,0,1,2
-1,-1,-1,-1,50,31,113,41,40,145,7,40,14,17,178,23,45,157,23,23,94,165,28,17,38,12,14,11,4,15,3,1,2,2,1,0,3
-1,-1,-1,-1,52,44,149,33,60,172,9,106,29,12,218,28,33,181,22,32,102,207,29,17,39,18,20,11,4,12,2,5,4,0,1,5,2
259,306,487,198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,48,47,173,32,61,203,11,107,21,17,250,25,32,204,13,36,131,239,35,21,38,24,33,23,8,24,1,3,5,1,0,1,0
-1,-1,-1,-1,169,137,409,80,136,549,27,272,32,69,704,63,125,670,71,131,466,915,109,73,194,77,130,74,29,90,13,12,15,7,3,9,12
106,116,265,96,117,96,343,34,95,548,30,248,59,74,686,73,118,722,87,146,688,1453,154,125,334,127,217,135,55,232,20,34,44,10,10,14,14
17,18,57,30,57,22,168,10,34,221,2,43,7,14,208,31,30,309,26,74,460,1029,128,104,296,124,245,169,95,248,15,40,76,20,20,16,30
3,2,6,9,27,5,60,2,9,56,3,23,3,7,63,8,5,63,11,22,173,344,37,46,105,48,112,66,39,89,9,28,44,11,10,15,10
1,0,3,2,4,1,18,1,2,19,0,6,2,1,17,3,0,28,4,14,54,164,13,17,43,18,34,24,21,37,2,3,9,2,3,5,9
1,0,1,0,3,2,8,1,0,7,0,1,0,0,7,2,0,7,1,5,19,70,7,7,18,6,15,7,10,11,3,2,8,1,6,3,2
1,0,0,2,1,1,5,0,0,1,0,0,0,0,2,0,0,4,3,2,6,18,3,2,5,0,4,1,2,7,0,0,4,0,1,2,0
0,0,1,0,3,0,0,1,0,4,0,0,0,0,9,4,2,9,0,2,5,18,5,2,7,3,3,3,1,4,1,2,1,2,0,0,0
