"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,16,14,12,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,15,14,12,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,22,19,17,14,13,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,26,22,19,17,14,13,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,40,34,30,25,22,19,17,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,25,22,19,17,14,12,11,10,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,58,51,45,39,34,29,25,22,19,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,81,70,61,54,47,41,35,31,26,23,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,110,92,81,70,62,54,47,40,35,30,27,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,140,124,104,91,79,70,61,53,45,40,34,30,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,178,160,142,119,104,90,80,69,60,52,45,39,34,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,223,206,185,164,137,120,104,93,80,70,60,52,45,40,34,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,240,218,202,181,161,134,117,102,91,79,68,58,51,44,39,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,294,261,237,219,197,175,146,128,111,99,86,74,63,56,48,42,36,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,283,263,234,212,196,176,156,131,114,100,89,77,66,57,50,43,39,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,281,262,243,215,196,181,163,144,121,105,92,82,71,61,52,46,39,35,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,278,257,239,222,197,179,165,149,132,110,96,84,75,65,56,48,42,36,32,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
