"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,45,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,25,24,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,27,24,23,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,29,27,23,22,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,28,24,23,20,19,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,82,70,60,56,49,48,40,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,46,39,33,29,27,23,23,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,26,23,19,16,14,13,12,11,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,99,88,78,66,56,49,45,39,37,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,98,88,79,70,59,50,43,40,35,33,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,195,175,158,141,124,105,90,78,72,63,61,52,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,261,245,219,197,176,155,132,112,97,90,79,76,65,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,247,224,210,189,170,152,133,113,96,83,77,68,65,56,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,251,226,205,192,172,155,138,122,103,88,76,71,62,60,51,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,347,320,288,262,245,220,198,177,155,132,112,97,90,79,76,65,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,408,370,341,307,278,261,234,211,188,165,141,120,104,96,84,82,70,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,383,367,333,307,276,251,235,211,190,170,149,127,108,93,87,76,76,63,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,395,371,355,321,296,267,242,227,204,183,164,144,122,104,90,84,73,70,61,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,432,410,385,368,333,307,277,251,235,211,190,170,149,127,108,93,87,76,73,63,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,530,501,475,446,427,387,357,321,291,273,245,220,197,173,147,125,108,101,88,85,73,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,555,528,499,473,444,425,385,355,320,290,272,244,219,196,173,147,125,108,100,88,85,73,58,0,0,0,0,0,0,0,0,0,0,0,0,0
523,498,479,456,431,409,383,367,333,307,276,251,235,211,190,170,150,127,108,94,87,76,78,63,49,0,0,0,0,0,0,0,0,0,0,0,0
593,568,542,521,495,469,444,417,399,361,333,300,272,255,229,206,184,162,137,117,101,94,82,79,68,54,0,0,0,0,0,0,0,0,0,0,0
791,752,721,687,661,629,595,563,529,506,459,423,381,346,324,291,261,234,205,174,149,129,120,104,100,86,69,0,0,0,0,0,0,0,0,0,0
778,755,718,688,656,631,600,568,538,505,483,438,404,363,330,309,277,249,223,196,167,142,123,114,100,95,82,66,0,0,0,0,0,0,0,0,0
814,787,765,727,697,664,639,608,575,545,512,489,443,409,368,334,313,281,253,226,199,169,144,124,116,101,96,83,66,0,0,0,0,0,0,0,0
810,783,758,736,700,671,639,616,585,553,525,493,471,427,394,355,322,302,271,244,218,192,163,139,120,112,97,96,81,64,0,0,0,0,0,0,0
950,922,892,863,838,797,764,728,700,666,630,597,561,536,486,448,403,366,343,308,277,248,218,185,158,136,127,111,105,91,73,0,0,0,0,0,0
837,809,785,759,734,713,678,650,619,596,567,536,508,477,456,413,381,343,312,292,262,235,211,185,157,134,116,108,94,90,78,62,0,0,0,0,0
1128,1101,1063,1032,998,965,937,891,855,814,783,745,705,668,627,600,544,501,451,410,384,345,310,278,244,207,176,152,142,124,119,102,82,0,0,0,0
1025,995,971,938,911,881,852,827,786,754,719,691,657,622,589,554,529,480,442,398,362,339,304,273,245,215,183,156,135,125,109,104,90,72,0,0,0
1378,1345,1306,1275,1231,1195,1155,1118,1085,1032,990,943,908,863,816,774,726,695,630,581,523,475,445,400,360,322,283,241,205,177,165,144,143,119,94,0,0
1306,1279,1250,1213,1184,1143,1110,1073,1038,1008,958,919,876,842,801,758,718,675,645,585,539,485,441,413,371,333,298,262,223,190,164,153,133,127,110,88,0
