"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,15,15,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,18,15,15,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,28,25,22,22,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,40,37,34,30,29,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,48,43,39,36,32,32,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,79,69,61,56,52,45,45,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,31,29,26,23,21,19,17,17,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,99,87,82,72,64,58,54,47,46,42,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,154,143,125,118,103,92,84,78,68,66,61,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,168,151,140,123,115,101,90,83,76,67,67,60,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,232,218,196,182,160,150,132,117,108,99,87,87,78,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,288,266,251,226,209,184,172,151,134,124,114,100,99,89,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,292,268,247,233,210,195,171,160,141,125,115,106,93,92,83,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,377,351,322,297,280,252,234,205,193,169,150,138,127,112,110,100,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,346,323,301,276,255,240,216,201,176,165,145,129,118,110,96,95,86,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,544,512,478,445,408,377,356,320,297,261,245,215,191,176,162,142,146,127,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,545,520,488,456,425,389,360,339,305,283,249,233,205,182,167,154,135,133,121,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,544,514,490,460,430,400,367,339,320,288,267,235,220,193,172,158,146,128,126,114,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,650,621,587,560,526,491,457,420,388,365,329,305,268,251,221,196,180,167,146,144,130,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638,613,586,560,529,505,474,443,412,378,350,329,297,275,242,227,199,177,163,150,132,130,118,106,0,0,0,0,0,0,0,0,0,0,0,0,0
726,698,672,642,614,580,553,520,486,452,416,384,362,326,303,266,250,220,195,179,166,145,153,129,115,0,0,0,0,0,0,0,0,0,0,0,0
765,744,716,688,658,629,594,567,532,497,463,425,393,370,333,309,271,254,223,199,182,168,148,145,132,119,0,0,0,0,0,0,0,0,0,0,0
919,895,870,838,805,770,736,695,663,623,582,542,497,460,433,390,362,318,298,262,232,214,197,173,171,154,139,0,0,0,0,0,0,0,0,0,0
935,911,887,863,830,798,763,729,689,657,617,577,537,493,456,429,386,359,315,295,259,231,212,196,171,168,153,138,0,0,0,0,0,0,0,0,0
892,872,849,828,804,774,744,711,680,643,613,576,538,501,460,425,400,360,334,294,275,242,215,197,182,160,157,143,129,0,0,0,0,0,0,0,0
977,960,939,914,891,866,833,801,766,732,692,660,620,580,539,495,458,431,389,361,317,297,261,232,213,197,172,175,154,138,0,0,0,0,0,0,0
943,931,915,895,871,849,825,795,763,730,698,659,629,590,552,514,472,436,410,370,343,302,283,248,221,203,187,164,160,146,132,0,0,0,0,0,0
1070,1050,1037,1019,996,970,946,919,885,850,813,777,734,700,657,614,572,525,485,457,412,382,336,315,276,246,225,208,183,178,163,147,0,0,0,0,0
1298,1279,1255,1239,1218,1191,1160,1130,1099,1058,1016,972,929,878,837,786,735,684,628,580,547,492,457,402,377,330,294,270,249,219,215,195,176,0,0,0,0
1270,1262,1244,1221,1206,1185,1158,1128,1099,1068,1029,988,945,903,854,814,765,715,665,611,564,532,479,444,391,366,321,286,262,243,213,208,190,172,0,0,0
