"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,15,13,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,13,10,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,16,15,12,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,21,17,16,13,11,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,49,41,34,31,25,22,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,34,32,26,22,20,16,14,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,13,11,11,9,7,7,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,61,54,47,44,37,30,28,22,19,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,82,71,63,55,51,43,35,33,26,22,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,76,66,58,51,45,42,35,29,27,21,18,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,92,83,73,64,56,49,46,38,31,29,23,20,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,126,117,106,92,81,71,62,58,48,40,37,29,25,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,141,125,116,105,92,80,71,62,58,48,40,37,29,25,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,146,134,119,111,100,88,77,68,59,55,46,38,35,28,24,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,169,151,138,124,115,104,91,79,70,61,57,47,39,36,29,25,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,168,159,142,130,116,108,98,85,75,66,58,54,45,37,34,27,24,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,256,243,230,205,188,168,156,141,123,108,95,83,77,64,53,49,39,33,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,172,161,153,145,129,118,106,98,89,77,68,60,52,49,41,33,31,25,21,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,229,217,204,193,182,163,149,133,124,112,98,86,76,66,62,51,42,39,31,26,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,168,159,151,142,134,127,113,104,93,86,78,68,59,53,46,43,36,29,27,22,18,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0
286,275,267,252,240,225,213,201,180,165,147,136,124,108,95,84,73,68,57,47,43,34,31,25,20,0,0,0,0,0,0,0,0,0,0,0,0
279,273,263,254,241,228,214,203,192,171,157,140,130,118,103,90,79,69,65,54,44,41,33,28,24,19,0,0,0,0,0,0,0,0,0,0,0
311,298,292,281,272,257,244,229,217,205,183,168,150,139,126,110,96,85,74,69,57,47,44,35,30,25,21,0,0,0,0,0,0,0,0,0,0
278,269,258,252,243,235,223,211,198,188,177,158,145,130,120,109,95,83,74,64,60,50,41,38,30,26,22,18,0,0,0,0,0,0,0,0,0
299,293,284,272,266,257,248,235,223,209,198,187,167,153,137,127,115,100,88,78,68,63,52,43,40,32,27,23,19,0,0,0,0,0,0,0,0
372,363,356,345,331,323,312,302,286,271,254,241,228,203,186,166,155,140,122,107,95,83,77,64,53,49,39,34,28,23,0,0,0,0,0,0,0
376,369,360,353,342,328,320,309,299,283,268,252,239,225,201,185,165,153,138,121,106,93,82,76,63,52,48,39,32,28,23,0,0,0,0,0,0
455,448,439,429,421,408,390,382,368,357,337,320,300,284,269,240,220,196,182,165,144,126,111,97,91,75,62,58,46,38,33,27,0,0,0,0,0
558,549,541,530,518,507,492,471,461,444,430,407,386,362,343,324,290,265,237,220,199,174,152,134,118,110,91,75,70,56,47,40,33,0,0,0,0
554,547,539,530,520,508,498,482,462,452,436,422,399,379,355,336,318,284,260,232,216,195,170,149,132,115,107,89,74,68,54,46,39,32,0,0,0
635,626,619,608,599,587,573,562,545,522,511,492,477,451,428,401,380,359,321,294,263,244,221,193,169,149,131,122,101,83,78,62,54,44,36,0,0
802,794,783,773,761,748,734,717,702,681,652,638,615,596,564,535,502,475,449,401,368,328,305,275,241,211,186,163,152,126,104,96,77,64,55,45,0
647,641,635,626,618,608,599,587,573,562,545,522,510,492,476,451,428,401,380,359,321,294,262,244,220,193,168,149,130,121,101,83,77,61,52,44,36
611,607,602,596,588,580,571,562,551,538,527,511,490,479,462,447,423,401,377,357,337,301,276,246,229,207,181,158,140,122,114,95,78,72,58,49,42
911,902,897,889,880,868,857,843,830,814,795,779,755,723,707,682,660,625,593,556,527,497,444,408,364,338,305,267,233,206,180,168,140,115,107,85,71
813,809,801,796,789,782,770,761,749,737,722,705,692,670,642,628,605,587,555,526,494,468,442,395,362,323,300,272,237,208,184,160,150,124,103,95,76
907,913,909,900,895,887,878,866,855,841,828,812,793,777,753,721,706,680,659,623,591,555,525,496,443,407,363,337,305,266,233,206,180,168,139,115,107
978,978,984,980,970,964,956,947,933,922,907,892,875,854,838,812,778,761,733,710,672,637,598,567,535,478,438,391,363,328,287,251,222,194,181,150,124
1049,1050,1050,1057,1052,1042,1036,1026,1016,1002,990,974,958,940,917,899,872,835,817,787,763,722,684,642,608,574,513,471,420,390,353,308,270,238,208,194,161
1224,1223,1224,1224,1232,1226,1214,1207,1197,1185,1168,1154,1135,1117,1096,1070,1048,1016,973,952,918,889,841,798,749,709,670,598,549,489,455,411,359,314,278,243,226
1201,1204,1203,1205,1204,1212,1206,1195,1188,1177,1166,1149,1135,1117,1099,1078,1052,1032,1000,958,937,903,875,828,785,737,698,659,589,540,482,448,405,354,310,274,239
1378,1392,1395,1395,1396,1396,1405,1398,1385,1377,1365,1351,1332,1316,1295,1274,1249,1220,1196,1159,1110,1086,1047,1014,959,910,854,809,764,682,626,558,519,469,410,358,317
1671,1678,1696,1700,1700,1701,1701,1712,1704,1687,1678,1663,1647,1623,1603,1577,1552,1522,1486,1457,1412,1353,1323,1276,1235,1169,1109,1041,986,931,832,763,680,632,571,500,437
1621,1626,1634,1650,1655,1654,1656,1655,1666,1658,1642,1633,1618,1603,1580,1560,1535,1511,1482,1447,1418,1374,1317,1288,1242,1202,1138,1079,1013,959,906,809,742,662,616,556,486
1644,1660,1666,1673,1690,1695,1694,1696,1695,1707,1698,1682,1672,1657,1641,1618,1598,1572,1547,1517,1481,1452,1408,1348,1319,1272,1231,1165,1105,1037,983,928,829,760,678,630,570
1779,1789,1807,1812,1820,1839,1844,1843,1845,1844,1857,1848,1830,1819,1803,1786,1760,1739,1710,1683,1651,1611,1580,1531,1467,1435,1383,1340,1268,1203,1129,1069,1010,902,828,739,686
2139,2152,2164,2185,2192,2202,2224,2230,2230,2231,2231,2246,2235,2213,2200,2181,2160,2129,2103,2069,2036,1997,1949,1911,1852,1774,1736,1674,1620,1533,1455,1365,1293,1221,1091,1001,893
1841,1863,1875,1885,1903,1910,1918,1938,1943,1942,1944,1943,1956,1947,1928,1917,1900,1882,1855,1832,1802,1774,1739,1698,1665,1614,1546,1512,1458,1412,1336,1267,1189,1126,1064,950,872
2238,2242,2270,2284,2296,2319,2326,2336,2360,2367,2366,2368,2367,2383,2372,2349,2335,2315,2292,2260,2232,2196,2161,2119,2069,2028,1966,1883,1842,1776,1720,1628,1544,1449,1372,1296,1158
2123,2136,2141,2167,2180,2192,2214,2221,2231,2254,2260,2259,2261,2260,2275,2265,2243,2230,2210,2188,2158,2131,2097,2063,2024,1976,1937,1877,1798,1759,1696,1642,1554,1474,1384,1311,1238
2255,2273,2287,2292,2320,2335,2347,2370,2378,2388,2413,2419,2419,2421,2419,2436,2424,2401,2387,2366,2343,2310,2281,2245,2208,2166,2115,2073,2010,1925,1883,1816,1758,1664,1578,1481,1403
2404,2423,2443,2458,2463,2494,2509,2523,2547,2555,2567,2593,2600,2599,2601,2600,2618,2606,2580,2566,2543,2518,2482,2452,2412,2373,2328,2273,2228,2160,2069,2024,1952,1889,1788,1696,1592
2377,2406,2425,2445,2460,2465,2495,2511,2524,2549,2557,2568,2595,2602,2601,2603,2602,2620,2607,2582,2568,2544,2520,2484,2454,2414,2375,2330,2274,2230,2161,2071,2026,1953,1891,1790,1697
2690,2718,2752,2773,2796,2813,2819,2854,2871,2887,2915,2924,2937,2967,2976,2975,2977,2976,2996,2982,2953,2936,2910,2882,2841,2806,2761,2716,2665,2601,2550,2472,2368,2317,2234,2163,2047
2364,2399,2424,2454,2473,2493,2509,2514,2545,2560,2574,2599,2608,2619,2646,2654,2653,2655,2654,2672,2659,2633,2619,2595,2570,2533,2503,2462,2422,2376,2320,2274,2204,2112,2066,1992,1929
2583,2583,2620,2648,2680,2702,2723,2740,2746,2780,2797,2812,2839,2848,2861,2890,2898,2898,2900,2898,2918,2904,2876,2860,2834,2807,2767,2733,2689,2646,2595,2534,2484,2408,2306,2256,2176
2685,2708,2707,2747,2776,2810,2832,2855,2872,2878,2914,2932,2948,2976,2986,2999,3030,3038,3038,3040,3038,3059,3045,3015,2998,2971,2942,2901,2865,2819,2773,2721,2656,2604,2524,2418,2365
2531,2543,2565,2564,2601,2629,2661,2682,2704,2720,2726,2760,2776,2792,2819,2828,2840,2869,2877,2877,2879,2877,2897,2883,2855,2839,2813,2786,2747,2714,2670,2626,2577,2515,2466,2390,2290
2774,2783,2796,2820,2819,2861,2891,2926,2949,2973,2991,2998,3035,3053,3070,3099,3109,3123,3155,3164,3163,3166,3164,3186,3171,3140,3123,3094,3064,3021,2984,2936,2888,2833,2766,2712,2628
2554,2561,2570,2581,2604,2603,2641,2669,2702,2723,2745,2762,2768,2802,2819,2834,2861,2871,2883,2913,2921,2921,2923,2921,2941,2927,2899,2883,2856,2829,2789,2755,2710,2667,2616,2554,2504
2961,2980,2988,2999,3012,3038,3037,3082,3114,3152,3177,3203,3223,3229,3269,3289,3307,3339,3350,3364,3399,3409,3408,3410,3409,3432,3416,3383,3364,3333,3301,3254,3214,3162,3112,3052,2979
3112,3109,3129,3138,3149,3163,3190,3190,3237,3270,3311,3337,3364,3384,3391,3433,3454,3473,3506,3518,3533,3570,3580,3579,3581,3580,3604,3587,3552,3533,3500,3467,3418,3376,3321,3268,3205
3207,3225,3222,3243,3252,3263,3278,3306,3306,3354,3389,3431,3458,3486,3507,3515,3558,3580,3599,3634,3646,3662,3700,3710,3709,3712,3710,3735,3718,3682,3661,3627,3593,3542,3498,3442,3386
3596,3618,3638,3635,3659,3669,3682,3698,3730,3729,3784,3824,3871,3901,3933,3957,3965,4014,4039,4061,4100,4113,4131,4174,4186,4185,4188,4186,4214,4195,4154,4131,4093,4053,3996,3947,3883
3948,3946,3970,3993,3989,4016,4026,4040,4059,4094,4093,4153,4196,4248,4281,4316,4342,4352,4406,4432,4457,4500,4514,4534,4581,4594,4593,4596,4594,4625,4604,4559,4534,4492,4449,4386,4332
3973,4000,3997,4022,4044,4041,4067,4078,4093,4111,4147,4146,4207,4250,4303,4337,4372,4399,4408,4463,4490,4515,4558,4572,4593,4640,4654,4652,4655,4654,4685,4664,4618,4592,4550,4506,4443
4314,4339,4367,4365,4392,4416,4413,4441,4453,4469,4489,4528,4527,4593,4641,4698,4736,4774,4803,4814,4873,4903,4930,4977,4993,5016,5067,5082,5080,5084,5082,5116,5093,5043,5015,4969,4921
4361,4411,4435,4465,4462,4489,4515,4511,4540,4553,4569,4589,4629,4628,4696,4745,4803,4841,4881,4910,4921,4982,5012,5040,5089,5104,5128,5180,5195,5194,5197,5196,5231,5207,5156,5127,5080
4643,4699,4753,4779,4811,4808,4837,4865,4860,4892,4905,4922,4945,4987,4986,5060,5112,5175,5216,5259,5290,5302,5368,5400,5431,5483,5499,5525,5581,5597,5596,5600,5598,5635,5610,5555,5524
5190,5259,5322,5383,5414,5450,5446,5480,5511,5506,5542,5557,5576,5602,5650,5649,5732,5792,5863,5910,5958,5994,6007,6082,6118,6153,6212,6230,6260,6323,6342,6340,6345,6343,6385,6356,6294
5482,5571,5645,5713,5779,5811,5850,5846,5882,5915,5910,5949,5965,5986,6013,6065,6063,6153,6217,6293,6343,6395,6434,6448,6528,6567,6605,6667,6688,6719,6788,6807,6805,6811,6809,6854,6823
5534,5616,5707,5784,5853,5920,5954,5993,5990,6027,6061,6055,6095,6112,6133,6161,6214,6213,6305,6370,6448,6500,6553,6592,6607,6689,6729,6767,6831,6852,6885,6954,6975,6973,6978,6976,7022
6099,6145,6237,6338,6423,6500,6575,6612,6656,6652,6693,6730,6724,6768,6787,6810,6841,6900,6899,7001,7074,7161,7218,7277,7320,7337,7428,7472,7515,7587,7609,7646,7723,7746,7743,7749,7747
6144,6307,6355,6450,6554,6642,6722,6799,6837,6883,6879,6921,6960,6954,6999,7018,7043,7075,7136,7134,7240,7315,7405,7464,7525,7570,7588,7682,7727,7772,7845,7869,7907,7987,8011,8008,8014
6528,6663,6840,6892,6995,7108,7204,7290,7373,7416,7465,7460,7506,7548,7542,7591,7612,7638,7673,7739,7738,7853,7934,8031,8095,8162,8210,8230,8332,8381,8429,8509,8535,8576,8662,8688,8686
6629,6850,6990,7175,7230,7338,7457,7557,7648,7735,7780,7831,7826,7875,7919,7912,7964,7986,8013,8050,8119,8118,8239,8324,8425,8493,8562,8614,8634,8741,8792,8843,8927,8954,8997,9088,9115
7086,7129,7367,7522,7718,7777,7893,8021,8129,8226,8320,8369,8424,8418,8471,8518,8510,8567,8590,8620,8659,8733,8732,8862,8954,9063,9136,9211,9266,9288,9403,9458,9513,9603,9631,9678,9776
7197,7218,7263,7503,7663,7864,7923,8041,8171,8281,8381,8476,8525,8582,8576,8630,8678,8670,8727,8751,8781,8821,8898,8896,9029,9122,9233,9307,9383,9440,9462,9579,9635,9692,9784,9812,9860
7738,7761,7784,7830,8091,8264,8479,8543,8671,8811,8929,9036,9140,9193,9254,9248,9306,9358,9349,9411,9437,9470,9512,9595,9593,9737,9837,9957,10037,10119,10180,10204,10330,10390,10452,10550,10581
8201,8272,8297,8322,8372,8651,8837,9065,9133,9270,9420,9547,9662,9772,9829,9894,9888,9950,10005,9996,10062,10090,10125,10170,10258,10257,10411,10518,10645,10731,10819,10884,10911,11045,11109,11175,11280
8108,8183,8253,8277,8302,8352,8628,8818,9045,9112,9249,9398,9525,9639,9749,9807,9871,9865,9927,9982,9973,10039,10067,10102,10147,10235,10233,10387,10494,10621,10707,10795,10860,10886,11020,11084,11150
8197,8272,8349,8421,8446,8471,8520,8800,9000,9230,9297,9437,9589,9719,9835,9948,10007,10073,10066,10130,10186,10177,10244,10272,10308,10354,10444,10442,10599,10708,10838,10925,11015,11081,11108,11245,11310
8626,8700,8780,8861,8936,8963,8990,9042,9338,9554,9797,9868,10016,10178,10316,10439,10559,10621,10691,10684,10752,10811,10801,10873,10903,10941,10990,11086,11083,11250,11366,11503,11596,11691,11761,11791,11935
8221,8289,8361,8437,8515,8588,8614,8640,8688,8973,9184,9415,9484,9626,9781,9914,10032,10148,10208,10275,10268,10333,10390,10380,10450,10478,10514,10562,10654,10651,10812,10923,11055,11144,11236,11303,11331
8635,8719,8791,8867,8948,9031,9108,9136,9163,9215,9517,9740,9986,10058,10209,10374,10515,10640,10763,10826,10897,10890,10960,11020,11009,11083,11113,11152,11202,11299,11297,11467,11585,11725,11820,11917,11988
8962,9061,9149,9225,9304,9389,9476,9557,9585,9614,9669,9985,10220,10477,10554,10712,10885,11033,11165,11293,11360,11435,11428,11500,11563,11552,11630,11661,11702,11755,11857,11854,12033,12157,12303,12403,12505
8573,8656,8751,8836,8910,8987,9069,9153,9231,9258,9286,9338,9643,9873,10120,10194,10346,10513,10656,10783,10907,10972,11044,11037,11107,11168,11158,11233,11263,11302,11353,11452,11449,11622,11742,11883,11979
8659,8733,8817,8914,9001,9076,9154,9238,9324,9403,9430,9458,9511,9819,10059,10310,10383,10539,10709,10854,10984,11110,11177,11250,11243,11314,11377,11366,11442,11473,11513,11565,11666,11663,11839,11962,12105
8782,8821,8897,8983,9082,9170,9246,9326,9411,9499,9579,9607,9636,9690,10006,10247,10503,10579,10738,10911,11059,11191,11320,11387,11462,11455,11528,11591,11580,11658,11689,11730,11783,11885,11883,12062,12186
8660,8772,8811,8886,8973,9071,9159,9236,9315,9400,9487,9568,9597,9625,9680,9999,10233,10490,10568,10726,10899,11047,11179,11307,11375,11449,11442,11515,11578,11567,11644,11675,11716,11769,11871,11869,12048
8324,8386,8494,8532,8605,8689,8784,8869,8943,9020,9103,9187,9265,9293,9320,9374,9685,9908,10158,10234,10387,10554,10698,10826,10950,11016,11087,11080,11151,11212,11200,11276,11306,11345,11396,11495,11493
8309,8371,8433,8542,8580,8653,8737,8834,8919,8993,9071,9154,9238,9317,9345,9373,9426,9738,9965,10215,10292,10446,10614,10759,10887,11011,11078,11150,11142,11213,11275,11263,11339,11369,11409,11460,11560
7747,7816,7874,7932,8034,8070,8139,8218,8309,8389,8459,8532,8610,8689,8764,8791,8817,8868,9163,9371,9608,9681,9826,9984,10121,10242,10358,10420,10488,10481,10548,10605,10594,10666,10694,10731,10780
7827,7918,7988,8048,8107,8211,8248,8319,8400,8492,8574,8646,8719,8800,8881,8957,8985,9011,9062,9363,9579,9820,9895,10043,10204,10344,10467,10587,10650,10719,10712,10781,10839,10828,10901,10930,10968
7586,7650,7739,7808,7866,7924,8026,8062,8131,8210,8300,8381,8450,8522,8601,8680,8755,8782,8807,8857,9151,9364,9599,9672,9816,9974,10110,10232,10348,10410,10478,10470,10537,10594,10583,10655,10683
7082,7195,7255,7340,7404,7460,7515,7612,7646,7711,7786,7872,7948,8014,8082,8157,8232,8303,8328,8352,8400,8679,8880,9103,9172,9309,9459,9588,9703,9813,9872,9937,9929,9993,10047,10037,10104
0,7162,7274,7335,7421,7486,7542,7599,7696,7731,7797,7872,7959,8036,8103,8172,8247,8324,8395,8420,8445,8493,8776,8979,9204,9274,9413,9564,9694,9810,9922,9982,10047,10039,10104,10159,10148
0,0,6774,6880,6937,7018,7080,7133,7186,7278,7311,7373,7445,7527,7600,7663,7728,7799,7872,7940,7964,7987,8033,8302,8490,8704,8771,8902,9045,9168,9278,9383,9440,9502,9494,9555,9607
0,0,0,6500,6603,6658,6736,6796,6847,6898,6986,7017,7077,7145,7224,7294,7355,7418,7486,7556,7621,7644,7666,7710,7967,8150,8354,8419,8544,8681,8800,8905,9006,9061,9120,9113,9171
0,0,0,0,6627,6733,6789,6869,6929,6981,7033,7124,7155,7216,7286,7366,7438,7500,7563,7633,7704,7770,7794,7817,7861,8125,8310,8518,8584,8712,8852,8973,9081,9183,9240,9300,9292
0,0,0,0,0,6311,6412,6465,6541,6598,6648,6698,6783,6814,6872,6938,7014,7083,7141,7202,7268,7336,7399,7422,7443,7486,7738,7913,8112,8175,8297,8430,8545,8647,8745,8799,8856
0,0,0,0,0,0,6196,6295,6347,6422,6478,6527,6576,6660,6690,6747,6812,6887,6954,7011,7071,7136,7203,7265,7287,7308,7349,7596,7770,7965,8026,8145,8276,8389,8490,8586,8639
0,0,0,0,0,0,0,6224,6325,6378,6453,6510,6559,6608,6692,6722,6779,6845,6920,6987,7045,7105,7171,7237,7300,7323,7343,7385,7635,7807,8003,8065,8186,8317,8431,8532,8628
0,0,0,0,0,0,0,0,6633,6741,6796,6876,6937,6989,7041,7131,7163,7224,7294,7374,7446,7507,7571,7641,7712,7779,7804,7826,7870,8138,8319,8528,8595,8724,8863,8985,9093
0,0,0,0,0,0,0,0,0,7051,7164,7223,7308,7373,7428,7484,7579,7614,7678,7752,7838,7914,7979,8047,8122,8197,8268,8295,8318,8364,8649,8843,9064,9136,9272,9421,9550
0,0,0,0,0,0,0,0,0,0,7555,7675,7739,7830,7899,7959,8018,8121,8157,8227,8306,8398,8479,8549,8622,8702,8783,8859,8888,8912,8962,9267,9477,9712,9789,9936,10094
0,0,0,0,0,0,0,0,0,0,0,7517,7635,7698,7789,7858,7917,7976,8078,8115,8183,8263,8354,8435,8505,8576,8656,8737,8812,8841,8865,8914,9219,9428,9661,9739,9885
0,0,0,0,0,0,0,0,0,0,0,0,7309,7424,7486,7574,7641,7699,7757,7855,7891,7958,8035,8124,8202,8270,8340,8418,8496,8569,8598,8621,8667,8963,9169,9396,9471
0,0,0,0,0,0,0,0,0,0,0,0,0,7486,7605,7668,7758,7827,7886,7945,8046,8082,8151,8230,8321,8402,8471,8542,8622,8702,8777,8807,8830,8878,9184,9390,9623
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8132,8262,8331,8429,8503,8568,8632,8742,8781,8856,8942,9041,9128,9203,9281,9368,9454,9536,9569,9594,9647,9981,10201
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8397,8535,8606,8707,8784,8851,8917,9030,9071,9148,9237,9339,9429,9507,9587,9677,9766,9851,9885,9911,9966,10311
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8523,8662,8734,8838,8915,8983,9050,9165,9207,9285,9375,9479,9570,9649,9730,9822,9912,9998,10033,10059,10115
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7965,8095,8162,8259,8332,8395,8458,8566,8604,8677,8761,8858,8944,9018,9094,9178,9264,9344,9375,9400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7721,7848,7913,8006,8077,8138,8199,8304,8341,8412,8493,8588,8671,8742,8816,8898,8980,9058,9088
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7725,7856,7921,8015,8086,8148,8208,8312,8350,8421,8502,8597,8680,8751,8825,8908,8990,9067
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7439,7569,7631,7722,7790,7849,7908,8009,8045,8113,8191,8283,8362,8431,8502,8582,8661
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7921,8061,8127,8224,8296,8360,8423,8530,8568,8641,8724,8822,8906,8980,9055,9140
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7876,8015,8081,8177,8249,8313,8375,8481,8520,8591,8675,8772,8856,8929,9003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8512,8663,8735,8838,8916,8985,9052,9167,9209,9286,9376,9481,9572,9651
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8700,8854,8927,9033,9112,9183,9252,9369,9412,9490,9582,9690,9783
