"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,39,54,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11,10,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,17,14,13,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,7,6,5,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16,14,13,11,10,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,83,78,69,63,54,52,72,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,42,37,35,31,28,24,23,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20,17,15,14,13,11,10,9,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,39,36,31,28,26,23,21,18,17,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,47,41,38,33,29,28,25,22,19,18,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,121,112,98,90,79,70,66,59,53,46,43,61,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,220,204,189,165,153,133,119,112,99,89,77,73,103,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,231,220,204,189,165,153,133,119,112,99,89,78,72,103,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,246,222,211,196,182,159,147,128,114,108,95,86,74,70,100,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,335,316,285,271,252,234,204,188,164,147,138,122,110,96,89,128,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,340,319,301,272,258,240,222,194,180,156,140,132,116,105,91,86,121,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941,862,800,750,707,639,607,564,523,457,423,368,329,310,275,248,214,209,286,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,363,333,308,289,273,246,234,217,202,176,163,142,127,119,106,95,83,77,110,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,416,394,361,335,314,296,267,254,236,219,191,177,154,137,129,115,103,90,84,119,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,579,537,508,466,432,405,382,345,328,304,282,246,228,198,177,167,148,133,116,108,154,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,380,357,331,313,287,266,249,235,212,202,187,174,152,140,122,109,103,91,82,71,67,95,78,0,0,0,0,0,0,0,0,0,0,0,0,0
1660,1570,1475,1382,1282,1214,1111,1031,968,912,825,783,728,676,590,547,476,426,401,355,321,277,277,369,300,0,0,0,0,0,0,0,0,0,0,0,0
446,429,406,381,357,331,314,288,266,250,236,213,202,188,174,152,141,122,109,103,91,82,71,66,95,78,0,0,0,0,0,0,0,0,0,0,0
547,528,508,481,451,423,392,371,340,315,296,279,252,240,222,206,180,167,145,130,122,108,98,84,79,113,92,0,0,0,0,0,0,0,0,0,0
452,439,423,407,385,362,339,314,298,273,253,237,223,202,192,178,165,144,134,116,104,98,87,78,68,63,90,74,0,0,0,0,0,0,0,0,0
577,542,525,506,488,462,433,406,377,356,327,303,284,268,242,230,213,198,173,160,139,124,117,104,94,81,75,108,89,0,0,0,0,0,0,0,0
1359,1309,1230,1192,1149,1107,1047,983,921,855,809,741,687,645,608,549,522,485,450,393,364,316,283,266,236,213,184,177,246,200,0,0,0,0,0,0,0
506,492,474,445,432,416,401,379,356,334,309,293,268,248,233,220,199,189,175,163,142,131,114,102,96,85,77,67,61,89,73,0,0,0,0,0,0
552,531,517,498,467,453,437,421,398,373,350,325,307,282,261,245,231,208,198,184,171,149,138,120,107,101,89,81,70,65,93,77,0,0,0,0,0
925,910,877,852,821,771,747,721,694,657,616,578,536,507,465,431,404,381,344,327,304,282,246,228,198,177,167,148,133,116,107,154,126,0,0,0,0
666,641,631,608,591,569,534,518,500,481,455,427,401,371,352,322,298,280,264,239,227,210,195,170,158,137,123,116,102,92,80,74,107,88,0,0,0
2174,2125,2048,2014,1940,1886,1817,1707,1654,1595,1536,1453,1364,1279,1186,1123,1029,954,896,843,763,725,673,626,546,506,440,394,370,328,297,256,248,341,278,0,0
805,786,769,740,728,702,682,657,617,598,577,555,526,493,462,429,406,372,344,323,305,275,262,243,226,197,182,159,142,134,118,107,92,86,123,101,0
1028,1005,981,960,924,909,876,852,821,770,747,720,694,656,616,577,536,507,465,430,404,381,344,327,303,282,246,228,198,177,167,148,133,115,107,154,126
884,869,850,830,812,782,769,741,720,694,651,631,609,586,555,520,488,453,429,393,364,341,322,291,277,256,238,208,192,167,150,141,125,113,98,91,130
903,872,858,839,819,801,772,759,731,711,685,643,623,601,579,548,514,482,447,423,388,359,337,318,287,273,253,235,205,190,165,148,139,123,111,96,89
2416,2362,2284,2246,2196,2145,2097,2021,1986,1915,1860,1792,1684,1632,1574,1515,1434,1346,1262,1170,1108,1015,940,883,832,752,715,664,617,538,499,433,388,365,323,292,253
1005,983,962,929,914,894,873,854,822,809,779,757,730,685,664,640,617,584,547,514,476,451,413,382,359,338,306,291,270,251,219,202,176,157,148,131,119
1229,1216,1190,1164,1124,1106,1081,1056,1033,995,978,943,916,883,829,804,775,746,706,662,621,576,545,500,463,435,410,370,352,326,303,264,245,213,190,179,159
1432,1411,1395,1365,1335,1290,1269,1241,1212,1185,1142,1123,1082,1051,1013,951,922,889,856,811,760,713,661,626,574,531,499,470,425,404,375,348,304,281,245,219,206
1165,1153,1136,1123,1099,1075,1039,1022,999,976,954,919,904,871,847,816,766,742,716,689,653,612,574,532,504,462,428,402,378,342,325,301,280,244,226,197,176
3292,3241,3206,3160,3125,3058,2991,2891,2843,2779,2715,2654,2558,2515,2423,2355,2269,2132,2066,1992,1919,1816,1704,1598,1482,1403,1285,1191,1119,1054,953,906,841,781,681,632,549
1388,1378,1357,1342,1323,1308,1280,1252,1210,1190,1164,1136,1111,1070,1053,1014,986,950,892,865,834,803,760,713,669,620,587,538,498,468,441,398,379,351,326,284,264
1883,1866,1853,1825,1805,1779,1760,1722,1684,1627,1601,1565,1529,1495,1440,1416,1364,1326,1278,1200,1163,1122,1080,1022,959,899,834,790,724,670,629,593,536,510,472,439,383
1839,1833,1817,1803,1776,1757,1732,1713,1676,1639,1584,1558,1523,1488,1455,1401,1378,1328,1291,1244,1168,1132,1092,1051,995,933,875,812,769,705,652,613,577,522,496,460,427
1680,1671,1666,1651,1639,1614,1597,1574,1557,1523,1490,1440,1416,1384,1352,1322,1274,1253,1207,1173,1130,1061,1029,992,955,905,848,796,738,699,640,593,557,525,474,451,418
3556,3529,3513,3500,3469,3444,3391,3355,3307,3270,3200,3129,3024,2974,2908,2841,2777,2676,2631,2536,2465,2374,2230,2162,2084,2008,1900,1782,1672,1550,1468,1345,1246,1170,1103,997,948
2194,2176,2160,2149,2142,2123,2108,2076,2054,2024,2002,1959,1916,1851,1821,1780,1739,1700,1638,1611,1552,1508,1453,1365,1323,1276,1229,1163,1090,1023,949,898,823,762,716,675,610
2350,2329,2309,2292,2281,2274,2253,2237,2203,2179,2148,2124,2079,2033,1964,1932,1889,1845,1804,1738,1709,1647,1601,1542,1448,1404,1354,1304,1234,1157,1086,1007,953,874,809,760,716
2572,2567,2544,2523,2505,2493,2484,2462,2444,2407,2381,2347,2321,2271,2221,2147,2111,2064,2016,1972,1899,1868,1800,1749,1686,1583,1534,1479,1425,1349,1265,1186,1100,1042,955,884,830
2538,2514,2509,2486,2466,2448,2436,2428,2406,2388,2352,2327,2293,2268,2219,2171,2098,2063,2017,1970,1927,1856,1825,1759,1710,1647,1547,1500,1446,1393,1319,1236,1160,1075,1018,933,864
4020,4025,3987,3979,3944,3911,3882,3863,3850,3816,3788,3731,3691,3637,3597,3520,3443,3327,3272,3199,3125,3056,2944,2895,2789,2711,2612,2453,2378,2293,2209,2091,1960,1839,1705,1615,1480
