"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtaQeT","Phetchabun"
-6.6327114157578,7.79927610887667,1,"DHF_add","m3h.rta","Phetchabun"
-25.9664863689577,9.78973520381227,2,"DHF_add","m1h.rtaQeT","Phetchabun"
-36.198196762498,8.9539081181287,3,"DHF_add","m3h.rtQeT","Phetchabun"
-38.665472179419,11.5316213633104,4,"DHF_add","m3h.rATQeT","Phetchabun"
-44.6880267418251,11.7619948370835,5,"DHF_add","m3h.rAT","Phetchabun"
-45.4622679295268,12.8479621042414,6,"DHF_add","m1h.rta","Phetchabun"
-47.7298981028724,11.4735355760986,7,"DHF_add","m3h.rt","Phetchabun"
-58.9561566007258,11.4091167280361,8,"DHF_add","m3hQeT","Phetchabun"
-61.5353488921327,10.0307668782572,9,"DHF_add","m3h.raQeT","Phetchabun"
-86.4676036595884,11.8052729900954,10,"DHF_add","m1h.raQeT","Phetchabun"
-102.542111838957,14.3872136903643,11,"DHF_add","m3h.ra","Phetchabun"
-108.68654802545,13.4855386987334,12,"DHF_add","m1h.rATQeT","Phetchabun"
-120.648452639699,13.4110409665949,13,"DHF_add","m1h.rAT","Phetchabun"
-124.889289975522,15.7744103057882,14,"DHF_add","m1h.ra","Phetchabun"
-140.329464133716,16.5447981643038,15,"DHF_add","m3h","Phetchabun"
-265.987539091157,18.8105497407265,16,"DHF_add","m1h.rtQeT","Phetchabun"
-347.413569004497,21.6287556607923,17,"DHF_add","m1h.rt","Phetchabun"
-383.502663726455,26.4676796042346,18,"DHF_add","m1hQeT","Phetchabun"
-392.090767390058,22.3221589668266,19,"DHF_add","m1h","Phetchabun"
