"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtaQeT","Phrae"
-3.8405876609374,5.34428537110481,1,"DHF_add","m3h.rtQeT","Phrae"
-10.5886277671231,8.4357937656275,1,"DHF_add","m3h.rATQeT","Phrae"
-28.2148924460327,6.79592407052339,2,"DHF_add","m1h.raQeT","Phrae"
-28.7314327724133,8.72490581107493,3,"DHF_add","m3h.rAT","Phrae"
-30.832838840001,7.06304279854572,4,"DHF_add","m3h.raQeT","Phrae"
-38.3131141472703,12.1653156922985,5,"DHF_add","m3h.rta","Phrae"
-39.8582478647148,8.31820806217715,6,"DHF_add","m1h.rtaQeT","Phrae"
-52.150334163507,11.1884811638232,7,"DHF_add","m1h.rATQeT","Phrae"
-56.8862778881679,9.4618981673544,8,"DHF_add","m3h.rt","Phrae"
-63.7884470080707,11.0281909027915,9,"DHF_add","m1h.rAT","Phrae"
-68.4210224199238,9.61470111973899,10,"DHF_add","m3h.ra","Phrae"
-70.2206613832398,9.72934699871705,11,"DHF_add","m1h.ra","Phrae"
-90.8168641618327,11.5626108774194,12,"DHF_add","m3hQeT","Phrae"
-93.0663148479166,11.0452467961925,13,"DHF_add","m3h","Phrae"
-94.7375213028158,13.492325392446,14,"DHF_add","m1h.rtQeT","Phrae"
-135.233509009957,14.5000525021208,15,"DHF_add","m1h.rt","Phrae"
-135.950621413536,15.0743877577732,16,"DHF_add","m1hQeT","Phrae"
-155.737528396257,14.0919532945704,17,"DHF_add","m1h","Phrae"
