"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtaQeT","KhonKaen"
-11.6325985435958,4.73310490033943,2,"DHF_add","m3h.rta","KhonKaen"
-15.3462945146064,5.91394045301109,3,"DHF_add","m1h.rtaQeT","KhonKaen"
-28.0356006229139,6.92802979856275,4,"DHF_add","m3h.rtQeT","KhonKaen"
-36.0211161890893,8.30334987512561,5,"DHF_add","m3h.rt","KhonKaen"
-42.2478079448122,8.11505046327269,6,"DHF_add","m1h.rta","KhonKaen"
-48.0406630390103,13.1465392139879,7,"DHF_add","m3h.rAT","KhonKaen"
-50.7368799736872,13.0154092927904,8,"DHF_add","m3h.rATQeT","KhonKaen"
-61.8795258347732,11.4020267498393,9,"DHF_add","m3h.raQeT","KhonKaen"
-64.6360503924266,13.5732829496412,10,"DHF_add","m1h.rATQeT","KhonKaen"
-65.7261724627409,13.4327611196075,11,"DHF_add","m1h.rAT","KhonKaen"
-73.4006627221467,12.191608750501,12,"DHF_add","m1h.raQeT","KhonKaen"
-89.4434388444698,12.3116239335718,13,"DHF_add","m3h.ra","KhonKaen"
-108.1846184304,15.971527306629,14,"DHF_add","m3h","KhonKaen"
-152.383902497229,15.3996853381041,15,"DHF_add","m1h.rtQeT","KhonKaen"
-185.024807013941,16.7643865381357,16,"DHF_add","m1h.rt","KhonKaen"
-195.194054088993,19.7887546622058,17,"DHF_add","m1h.ra","KhonKaen"
-228.988120372556,18.0755815092807,18,"DHF_add","m1h","KhonKaen"
