"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m1h.rtaQeT","NakhonPhanom"
-3.09780784685003,3.94995903166196,1,"DHF_add","m3h.rtQeT","NakhonPhanom"
-6.17191382918127,3.25411642013623,1,"DHF_add","m3h.rtaQeT","NakhonPhanom"
-24.3178308829644,8.37058749875651,2,"DHF_add","m3h.rt","NakhonPhanom"
-25.0251670724099,7.92683801239804,3,"DHF_add","m3h.rta","NakhonPhanom"
-25.9362506800441,7.93262766036516,4,"DHF_add","m1h.rta","NakhonPhanom"
-41.6873712600215,8.28923355546153,5,"DHF_add","m1h.rtQeT","NakhonPhanom"
-79.8405380144491,11.5806736063785,6,"DHF_add","m1h.rt","NakhonPhanom"
-84.0375688997434,12.9066089021849,7,"DHF_add","m3h.raQeT","NakhonPhanom"
-89.4308467719272,12.731023405914,8,"DHF_add","m3h.rAT","NakhonPhanom"
-91.1133709541817,12.6384298411839,9,"DHF_add","m3h.rATQeT","NakhonPhanom"
-96.2475301174418,13.3179199718116,10,"DHF_add","m1h.raQeT","NakhonPhanom"
-98.9103248143745,12.7470690593628,11,"DHF_add","m1h.rAT","NakhonPhanom"
-100.965927165685,12.6197997475068,12,"DHF_add","m1h.rATQeT","NakhonPhanom"
-110.090363175485,14.1193628595981,13,"DHF_add","m1h.ra","NakhonPhanom"
-110.208583286892,14.321313101315,14,"DHF_add","m3h.ra","NakhonPhanom"
-121.558238669065,14.5584498235355,15,"DHF_add","m3h","NakhonPhanom"
-164.966385392471,15.8090220991784,16,"DHF_add","m1h","NakhonPhanom"
