"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m1h.rtaQeT","Narathiwat"
-1.45716303044746,4.10213981723975,1,"DHF_add","m3h.rtQeT","Narathiwat"
-2.47625500670952,3.47255140196522,1,"DHF_add","m3h.rtaQeT","Narathiwat"
-12.1412296706023,6.81863635050952,1,"DHF_add","m1h.rtQeT","Narathiwat"
-13.765097687087,6.26508963039019,2,"DHF_add","m3h.rt","Narathiwat"
-16.1062818472336,6.40231002000546,3,"DHF_add","m3h.rta","Narathiwat"
-24.2537540328818,7.70828154283735,4,"DHF_add","m1h.rta","Narathiwat"
-50.6429515152483,10.2802139525849,5,"DHF_add","m1h.rt","Narathiwat"
-83.540989226169,12.0605150527195,6,"DHF_add","m1h.raQeT","Narathiwat"
-85.5796879753982,12.5312221473947,7,"DHF_add","m3h.rAT","Narathiwat"
-86.6355487547663,11.8867530026793,8,"DHF_add","m3h.raQeT","Narathiwat"
-88.0150051372973,12.7314877335607,9,"DHF_add","m1h.rAT","Narathiwat"
-90.0606623035606,12.6625096735933,10,"DHF_add","m1h.rATQeT","Narathiwat"
-109.893529435265,12.671529131552,11,"DHF_add","m3h.ra","Narathiwat"
-114.039958332843,12.9513927225419,12,"DHF_add","m1h.ra","Narathiwat"
-122.45058476662,13.4445938193009,13,"DHF_add","m3h","Narathiwat"
-124.280838009451,14.6808127111634,14,"DHF_add","m1hQeT","Narathiwat"
-166.29451178876,14.7500375131814,15,"DHF_add","m1h","Narathiwat"
