"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtaQeT","NongKhai"
-1.09086282141446,3.97587520881645,1,"DHF_add","m1h.rtaQeT","NongKhai"
-5.09840799303038,4.60122811599313,1,"DHF_add","m3h.rta","NongKhai"
-7.15789287006074,6.02429248737149,1,"DHF_add","m1h.rta","NongKhai"
-8.48527728759757,4.21027212918257,2,"DHF_add","m3h.rtQeT","NongKhai"
-13.3724264040976,6.23014065223137,3,"DHF_add","m3h.rt","NongKhai"
-44.7303656002254,8.94579080018082,4,"DHF_add","m3h.rAT","NongKhai"
-46.3229252294434,8.89028269442095,5,"DHF_add","m3h.rATQeT","NongKhai"
-51.9894090389419,8.77892179496256,6,"DHF_add","m3h.raQeT","NongKhai"
-55.7588657935178,9.80894295863457,7,"DHF_add","m1h.raQeT","NongKhai"
-58.2023557740303,10.0717893697387,8,"DHF_add","m1h.rAT","NongKhai"
-58.5340217454069,10.268633697202,9,"DHF_add","m1h.rATQeT","NongKhai"
-59.5633802936238,10.2509612802548,10,"DHF_add","m3h.ra","NongKhai"
-72.7169211028606,11.1013813681495,11,"DHF_add","m3h","NongKhai"
-96.9333381089279,14.3004952112274,12,"DHF_add","m1h.rt","NongKhai"
-144.234594859554,15.7898342057118,13,"DHF_add","m1h","NongKhai"
