"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtQeT","Pattani"
-0.929923200886535,3.84390064939081,1,"DHF_add","m1h.rtaQeT","Pattani"
-5.34668547979029,2.62537019448682,2,"DHF_add","m3h.rtaQeT","Pattani"
-10.000827144801,4.28438243797531,3,"DHF_add","m3h.rt","Pattani"
-10.5496534542919,4.67130601279318,4,"DHF_add","m3h.rta","Pattani"
-10.5626731504493,5.27762809880811,5,"DHF_add","m1h.rta","Pattani"
-27.3704303768761,8.81375809069166,6,"DHF_add","m1h.rtQeT","Pattani"
-56.4200457742485,11.1555100574704,7,"DHF_add","m1h.rt","Pattani"
-110.843994480664,15.2871806076115,8,"DHF_add","m1h.rAT","Pattani"
-112.127648722408,15.2584525047087,9,"DHF_add","m3h.rAT","Pattani"
-112.615538854223,15.2288886674188,10,"DHF_add","m1h.rATQeT","Pattani"
-113.266209557181,15.1276699079426,11,"DHF_add","m3h.rATQeT","Pattani"
-113.880812007457,14.9375394373752,12,"DHF_add","m3h.raQeT","Pattani"
-115.291201365328,14.9283285142408,13,"DHF_add","m1h.raQeT","Pattani"
-117.072702658548,15.1306296113012,14,"DHF_add","m3hQeT","Pattani"
-133.83484441397,15.0094922344881,15,"DHF_add","m3h.ra","Pattani"
-134.463475689166,14.9470215958613,16,"DHF_add","m1h.ra","Pattani"
-143.067791917327,14.8771241941407,17,"DHF_add","m3h","Pattani"
-182.295623989321,16.3382664375804,18,"DHF_add","m1h","Pattani"
