"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtQeT","Phatthalung"
-0.525800545270188,2.63362423784201,1,"DHF_add","m3h.rtaQeT","Phatthalung"
-2.71271497359467,3.18429149251139,1,"DHF_add","m1h.rtaQeT","Phatthalung"
-20.7699719210293,5.97058374486937,2,"DHF_add","m3h.rta","Phatthalung"
-20.8375475016441,5.80327998769585,3,"DHF_add","m3h.rt","Phatthalung"
-21.8071241832277,6.90572881671173,4,"DHF_add","m1h.rta","Phatthalung"
-32.6977462346203,7.83170758134303,5,"DHF_add","m1h.rtQeT","Phatthalung"
-66.8135284859862,10.8676129860588,6,"DHF_add","m1h.rt","Phatthalung"
-81.9298187180184,14.6741666902301,7,"DHF_add","m3h.rATQeT","Phatthalung"
-83.3895295876576,14.9758459200245,8,"DHF_add","m3h.rAT","Phatthalung"
-85.3286679275399,14.9793321758042,9,"DHF_add","m1h.rATQeT","Phatthalung"
-86.7100920502223,15.2383461475174,10,"DHF_add","m1h.rAT","Phatthalung"
-102.172756904939,14.3132086602873,11,"DHF_add","m3hQeT","Phatthalung"
-102.882010299697,14.029593426937,12,"DHF_add","m1h.raQeT","Phatthalung"
-111.870838981105,14.7342490689831,13,"DHF_add","m3h.raQeT","Phatthalung"
-127.202787786688,14.8261834676333,14,"DHF_add","m1h.ra","Phatthalung"
-128.265431906923,14.629437233198,15,"DHF_add","m3h.ra","Phatthalung"
-135.312651324188,14.7946822897527,16,"DHF_add","m3h","Phatthalung"
-158.867509196358,15.8262450448875,17,"DHF_add","m1hQeT","Phatthalung"
-180.383045504713,15.7022191892681,18,"DHF_add","m1h","Phatthalung"
