"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtQeT","Trang"
-0.73833716400911,3.14835693428609,1,"DHF_add","m3h.rtaQeT","Trang"
-2.49705295537062,3.44157093280674,1,"DHF_add","m1h.rtaQeT","Trang"
-14.8425179437654,6.21661299723414,2,"DHF_add","m1h.rtQeT","Trang"
-18.6021416329582,6.81080914083854,3,"DHF_add","m3h.rt","Trang"
-19.7896013999295,7.73713948099274,4,"DHF_add","m1h.rta","Trang"
-19.9761925396605,7.3483951575571,5,"DHF_add","m3h.rta","Trang"
-37.9937896711105,10.0366529021353,6,"DHF_add","m1h.rt","Trang"
-58.9140331444655,13.0784031371237,7,"DHF_add","m3h.rAT","Trang"
-60.4582117661796,12.6026417176942,8,"DHF_add","m3h.rATQeT","Trang"
-60.7168167850197,13.4045685199556,9,"DHF_add","m1h.rAT","Trang"
-62.8051374733733,12.9308066184571,10,"DHF_add","m1h.rATQeT","Trang"
-77.4413512050825,12.7463745261336,11,"DHF_add","m3hQeT","Trang"
-80.3285854102105,12.7182837855573,12,"DHF_add","m1h.raQeT","Trang"
-94.7775901489379,13.1500247700359,13,"DHF_add","m3h.raQeT","Trang"
-121.262650633442,15.0848040001434,14,"DHF_add","m1h.ra","Trang"
-123.51805380253,15.2093593886541,15,"DHF_add","m3h.ra","Trang"
-123.855097251138,14.7917763436185,16,"DHF_add","m1hQeT","Trang"
-127.693867818948,14.9949988702633,17,"DHF_add","m3h","Trang"
-151.760270591197,15.8687593740214,18,"DHF_add","m1h","Trang"
